Module,Function,Parameter,Runtime (s),Samples,Average (μW),Consumption (μJ),Sample frequency (ns),File
ping_pong_lb_prime,,--servers=2 --clients=200 --messages=50000 --range=50,41.187657971982844,634,774690.4322239745,31907684.556608617,1000000,ping_pong_lb_prime____2025-04-13-16-23-30
ping_pong_lb_prime,,--servers=2 --clients=200 --messages=50000 --range=50,46.96889401902445,704,755760.2712784088,35497224.085464746,1000000,ping_pong_lb_prime____2025-04-13-16-24-21
ping_pong_lb_prime,,--servers=2 --clients=200 --messages=50000 --range=50,43.60494595899945,646,798350.6100309598,34812035.20673425,1000000,ping_pong_lb_prime____2025-04-13-16-25-18
ping_pong_lb_prime,,--servers=2 --clients=200 --messages=50000 --range=50,42.178638820012566,618,832333.9243365703,35106711.972235866,1000000,ping_pong_lb_prime____2025-04-13-16-26-12
ping_pong_lb_prime,,--servers=2 --clients=200 --messages=50000 --range=50,45.949466024001595,691,789349.6337771345,36270194.178300545,1000000,ping_pong_lb_prime____2025-04-13-16-27-04
ping_pong_lb_prime,,--servers=2 --clients=200 --messages=50000 --range=50,42.616340632986976,642,806685.4992367604,34377984.019164935,1000000,ping_pong_lb_prime____2025-04-13-16-28-00
ping_pong_lb_prime,,--servers=2 --clients=200 --messages=50000 --range=50,41.96445963298902,624,810507.9595833328,34012528.55215106,1000000,ping_pong_lb_prime____2025-04-13-16-28-53
ping_pong_lb_prime,,--servers=2 --clients=200 --messages=50000 --range=50,46.729454983986216,682,806506.3482404693,37687602.09440212,1000000,ping_pong_lb_prime____2025-04-13-16-29-45
ping_pong_lb_prime,,--servers=2 --clients=200 --messages=50000 --range=50,43.818767474003835,656,809341.7430335365,35464357.644991495,1000000,ping_pong_lb_prime____2025-04-13-16-30-41
ping_pong_lb_prime,,--servers=2 --clients=200 --messages=50000 --range=50,43.56132066997816,644,799007.5148602487,34805822.57254963,1000000,ping_pong_lb_prime____2025-04-13-16-31-35
ping_pong_lb_prime,,--servers=2 --clients=200 --messages=50000 --range=50,43.50705745400046,635,823654.5341259848,35834785.1384672,1000000,ping_pong_lb_prime____2025-04-13-16-32-29
ping_pong_lb_prime,,--servers=2 --clients=200 --messages=50000 --range=50,43.56898497598013,626,849999.2951118202,37033606.5183206,1000000,ping_pong_lb_prime____2025-04-13-16-33-22
ping_pong_lb_prime,,--servers=2 --clients=200 --messages=100000 --range=50,88.13067893800326,1305,810920.980160919,71467016.54665287,1000000,ping_pong_lb_prime____2025-04-13-16-34-16
ping_pong_lb_prime,,--servers=2 --clients=200 --messages=100000 --range=50,85.2302112870093,1245,836768.6615662641,71317969.82364066,1000000,ping_pong_lb_prime____2025-04-13-16-35-54
ping_pong_lb_prime,,--servers=2 --clients=200 --messages=100000 --range=50,90.38430587400217,1324,810088.0143806653,73219242.87664512,1000000,ping_pong_lb_prime____2025-04-13-16-37-30
ping_pong_lb_prime,,--servers=2 --clients=200 --messages=100000 --range=50,87.96487209299812,1281,833830.0746682273,73347755.8654857,1000000,ping_pong_lb_prime____2025-04-13-16-39-10
ping_pong_lb_prime,,--servers=2 --clients=200 --messages=100000 --range=50,83.82232736799051,1231,837558.8619983756,70206133.12038943,1000000,ping_pong_lb_prime____2025-04-13-16-40-48
