Module,Function,Parameter,Runtime (s),Samples,Average (μW),Consumption (μJ),Sample frequency (ns),File
ping_pong,main,50 50000,4.428240311000081,58,8994982.806896552,39831945.462251976,1000000,ping_pong__main__2025-03-23-20-18-50
ping_pong,main,50 50000,2.994052510000074,40,8704922.459999999,26062994.940719016,1000000,ping_pong__main__2025-03-23-20-19-05
ping_pong,main,50 50000,3.894954928000516,50,8980240.877999999,34977633.46239778,1000000,ping_pong__main__2025-03-23-20-19-18
ping_pong,main,50 50000,3.9229077660002076,55,9390166.947272727,36836758.84149464,1000000,ping_pong__main__2025-03-23-20-19-32
ping_pong,main,50 50000,3.786695986000268,55,8840024.565454544,33474485.538150486,1000000,ping_pong__main__2025-03-23-20-19-46
ping_pong,main,50 50000,4.632537520000369,56,9482139.55357143,43926367.251799196,1000000,ping_pong__main__2025-03-23-20-20-00
ping_pong,main,50 50000,5.9228594860005614,67,7530732.958208955,44603473.13806498,1000000,ping_pong__main__2025-03-23-20-20-14
ping_pong,main,50 50000,5.22490466400086,57,8750144.466666667,45718670.63456798,1000000,ping_pong__main__2025-03-23-20-20-30
ping_pong,main,50 50000,3.0530013919997145,40,10712263.7775,32704556.22417562,1000000,ping_pong__main__2025-03-23-20-20-45
ping_pong,main,50 50000,4.244208600000093,51,8886289.684313726,37715267.10025642,1000000,ping_pong__main__2025-03-23-20-20-59
ping_pong,main,50 50000,2.3747952120002083,28,13404950.921428572,31834013.265306354,1000000,ping_pong__main__2025-03-23-20-21-13
ping_pong,main,50 50000,4.475506297999345,57,8413123.401754385,37652986.770397425,1000000,ping_pong__main__2025-03-23-20-21-25
ping_pong,main,50 50000,4.358970583999508,60,8305309.47,36202599.67074254,1000000,ping_pong__main__2025-03-23-20-21-40
ping_pong,main,50 50000,3.775407105999875,53,8173325.735849057,30857632.06277619,1000000,ping_pong__main__2025-03-23-20-21-54
ping_pong,main,50 50000,4.004789587000232,55,10280642.813272728,41171811.28626339,1000000,ping_pong__main__2025-03-23-20-22-08
ping_pong,main,50 100000,6.45762049699988,86,9719354.02395349,62763899.762680314,1000000,ping_pong__main__2025-03-23-20-22-22
ping_pong,main,50 100000,6.084989220999887,85,8805509.905882351,53581432.86270183,1000000,ping_pong__main__2025-03-23-20-22-39
ping_pong,main,50 100000,6.7251935180001965,94,8992514.48617021,60476400.13291477,1000000,ping_pong__main__2025-03-23-20-22-55
ping_pong,main,50 100000,5.539839457000198,68,10181423.060294118,56403449.19782906,1000000,ping_pong__main__2025-03-23-20-23-12
ping_pong,main,50 100000,6.208185438000328,87,8915719.18850575,55350438.035381496,1000000,ping_pong__main__2025-03-23-20-23-27
ping_pong,main,50 100000,6.835293146000367,85,9594437.800235292,65580794.93567514,1000000,ping_pong__main__2025-03-23-20-23-43
ping_pong,main,50 100000,8.362225906000276,115,8042423.7791304365,67252564.47287717,1000000,ping_pong__main__2025-03-23-20-24-00
ping_pong,main,50 100000,8.451269226000477,113,9543529.666725665,80654938.5798212,1000000,ping_pong__main__2025-03-23-20-24-19
ping_pong,main,50 100000,6.096603490999769,84,9270702.01845238,56519794.28971538,1000000,ping_pong__main__2025-03-23-20-24-37
ping_pong,main,50 100000,4.255829212000208,54,11448153.06111111,48721384.22092626,1000000,ping_pong__main__2025-03-23-20-24-53
ping_pong,main,50 100000,5.775240627999665,0,0,0.0,1000000,ping_pong__main__2025-03-23-20-25-08
ping_pong,main,50 100000,7.457837693999863,98,9149210.40510204,68233326.22950576,1000000,ping_pong__main__2025-03-23-20-25-23
ping_pong,main,50 100000,7.118418577999364,0,0,0.0,1000000,ping_pong__main__2025-03-23-20-25-41
ping_pong,main,50 100000,6.747493238000061,89,8590796.568539327,57966341.75525323,1000000,ping_pong__main__2025-03-23-20-25-58
ping_pong,main,50 100000,8.221225444000083,116,8750098.362931035,71936531.2988321,1000000,ping_pong__main__2025-03-23-20-26-15
ping_pong,main,50 200000,18.043123993000336,248,9109200.760887098,164358438.80581892,1000000,ping_pong__main__2025-03-23-20-26-33
ping_pong,main,50 200000,12.534772183999848,157,9426418.101528663,118158003.41379414,1000000,ping_pong__main__2025-03-23-20-27-02
ping_pong,main,50 200000,15.306044632000521,217,8593955.718894012,131539469.79882787,1000000,ping_pong__main__2025-03-23-20-27-24
ping_pong,main,50 200000,13.309701834000407,173,9697852.247745665,129075521.84768544,1000000,ping_pong__main__2025-03-23-20-27-49
ping_pong,main,50 200000,10.32161286399969,131,9941034.378091604,102607508.31837344,1000000,ping_pong__main__2025-03-23-20-28-13
ping_pong,main,50 200000,16.518170370000007,226,8904869.156769915,147092145.85408375,1000000,ping_pong__main__2025-03-23-20-28-33
ping_pong,main,50 200000,15.097440558000017,206,9094961.353883494,137310638.4175634,1000000,ping_pong__main__2025-03-23-20-29-00
ping_pong,main,50 200000,13.50607984600083,186,9691623.192473117,130895836.67489539,1000000,ping_pong__main__2025-03-23-20-29-25
ping_pong,main,50 200000,16.266586886999903,224,9122457.041785715,148391240.09313145,1000000,ping_pong__main__2025-03-23-20-29-48
ping_pong,main,50 200000,16.410482135000166,224,9271746.199375,152153825.36509913,1000000,ping_pong__main__2025-03-23-20-30-15
ping_pong,main,50 200000,13.927001377000124,195,8748233.56379487,121836660.88928986,1000000,ping_pong__main__2025-03-23-20-30-41
ping_pong,main,50 200000,11.379066671000146,145,9500794.845517242,108110177.97463523,1000000,ping_pong__main__2025-03-23-20-31-05
ping_pong,main,50 200000,15.754295841000385,211,9447095.442085307,148832336.43277824,1000000,ping_pong__main__2025-03-23-20-31-27
ping_pong,main,50 200000,16.104804435000005,215,9242853.479441857,148854347.70777044,1000000,ping_pong__main__2025-03-23-20-31-52
ping_pong,main,50 200000,16.84625304600013,237,9111243.467468355,153490313.01668754,1000000,ping_pong__main__2025-03-23-20-32-19
ping_pong,main,50 500000,40.34724333200029,542,9677776.159778599,390471589.63121843,1000000,ping_pong__main__2025-03-23-20-32-45
ping_pong,main,50 500000,41.77617712100073,554,8807615.00702166,367948484.54692096,1000000,ping_pong__main__2025-03-23-20-33-36
ping_pong,main,50 500000,45.283687567000015,603,9371118.459104476,424358800.4554337,1000000,ping_pong__main__2025-03-23-20-34-28
ping_pong,main,50 500000,44.11894427000061,588,9141770.926955782,403325282.055474,1000000,ping_pong__main__2025-03-23-20-35-23
ping_pong,main,50 500000,35.10604016100024,460,9117796.59302174,320089733.3744523,1000000,ping_pong__main__2025-03-23-20-36-17
ping_pong,main,50 500000,39.77987628499977,541,9526090.458853975,378946699.93292785,1000000,ping_pong__main__2025-03-23-20-37-02
ping_pong,main,50 500000,41.04579383500004,557,9375207.362728901,384812828.5709449,1000000,ping_pong__main__2025-03-23-20-37-52
ping_pong,main,50 500000,42.339752453000074,570,9493472.907333331,401951292.81575614,1000000,ping_pong__main__2025-03-23-20-38-43
ping_pong,main,50 500000,41.940415523999945,578,9390311.42596886,393833563.1048984,1000000,ping_pong__main__2025-03-23-20-39-36
ping_pong,main,50 500000,38.94827327500025,504,9544066.860337304,371724924.23129094,1000000,ping_pong__main__2025-03-23-20-40-28
ping_pong,main,50 500000,43.01935667399994,586,8980606.612269623,386339919.00210917,1000000,ping_pong__main__2025-03-23-20-41-17
