Module,Function,Parameter,Runtime (s),Samples,Average (μW),Consumption (μJ),Sample frequency (ns),File
ping_pong_lb_prime,main,2 200 50000 50,59.77230072800012,962,2002202.6856548854,119676261.04537329,1000000,ping_pong_lb_prime__main__2025-04-11-20-11-06
ping_pong_lb_prime,main,2 200 50000 50,60.20749625799999,951,2226872.210452153,134074400.27784216,1000000,ping_pong_lb_prime__main__2025-04-11-20-12-17
ping_pong_lb_prime,main,2 200 50000 50,66.92764768999996,970,2042076.5890721672,136671382.50941882,1000000,ping_pong_lb_prime__main__2025-04-11-20-13-27
ping_pong_lb_prime,main,2 200 50000 50,58.979208205000305,949,2015542.820126451,118875119.63433143,1000000,ping_pong_lb_prime__main__2025-04-11-20-14-44
ping_pong_lb_prime,main,2 200 50000 50,62.894542724000075,976,1773000.417766395,111512050.52487852,1000000,ping_pong_lb_prime__main__2025-04-11-20-15-53
ping_pong_lb_prime,main,2 200 50000 50,58.547835866999776,966,2021535.5796687375,118356533.31774549,1000000,ping_pong_lb_prime__main__2025-04-11-20-17-06
ping_pong_lb_prime,main,2 200 50000 50,58.55658861300071,961,1933494.9621227882,113218869.0823335,1000000,ping_pong_lb_prime__main__2025-04-11-20-18-14
ping_pong_lb_prime,main,2 200 50000 50,63.28902876000029,981,1867939.634638123,118220085.2585566,1000000,ping_pong_lb_prime__main__2025-04-11-20-19-23
ping_pong_lb_prime,main,2 200 50000 50,59.59475311099959,961,2026475.4428720078,120767303.70346086,1000000,ping_pong_lb_prime__main__2025-04-11-20-20-36
ping_pong_lb_prime,main,2 200 50000 50,59.34634407300018,956,2177731.451882844,129240400.0420335,1000000,ping_pong_lb_prime__main__2025-04-11-20-21-46
ping_pong_lb_prime,main,2 200 50000 50,58.89127904900033,947,2097676.153115101,123534831.68753497,1000000,ping_pong_lb_prime__main__2025-04-11-20-22-55
ping_pong_lb_prime,main,2 200 50000 50,58.67197241500071,954,2050208.9617400435,120289803.64819908,1000000,ping_pong_lb_prime__main__2025-04-11-20-24-04
ping_pong_lb_prime,main,2 200 50000 50,58.50014412099972,943,1998332.8601272537,116902760.31917392,1000000,ping_pong_lb_prime__main__2025-04-11-20-25-13
ping_pong_lb_prime,main,2 200 50000 50,58.07295167600023,944,2021780.8762288135,117410783.1246973,1000000,ping_pong_lb_prime__main__2025-04-11-20-26-22
ping_pong_lb_prime,main,2 200 50000 50,57.92421076299979,935,2068377.4749732655,119809132.79779276,1000000,ping_pong_lb_prime__main__2025-04-11-20-27-30
ping_pong_lb_prime,main,2 200 100000 50,138.78305532099967,2038,2002404.217139355,277899775.24225414,1000000,ping_pong_lb_prime__main__2025-04-11-20-28-38
ping_pong_lb_prime,main,2 200 100000 50,115.2539439989996,1875,1976589.9855786646,227809791.50686684,1000000,ping_pong_lb_prime__main__2025-04-11-20-31-07
ping_pong_lb_prime,main,2 200 100000 50,116.18932246899931,1895,2046578.1550079174,237790529.21022457,1000000,ping_pong_lb_prime__main__2025-04-11-20-33-12
